head,tail,relation,time,score
摩根大通,英伟达,认为缺乏,2024-12-28,
摩根大通,英伟达,认为有危机,2024-12-28,
市场研究公司IDC,台积电,相信,2024-12-28,
市场研究公司IDC,台积电,认为恐怖,2024-12-28,
市场研究公司IDC,台积电,担忧,2024-12-28,
摩根大通,英伟达,相信,2024-12-28,
C.C. Wei,CoWoS产能,增进,2024-10-23,
摩根士丹利,Blac,支持,2024-10-23,
C.C. Wei,英伟达,认为优秀,2024-10-23,
摩根士丹利,Blac,欣赏,2024-10-23,
摩根士丹利,Blac,认可,2024-10-23,
摩根士丹利,Blac,批评,2024-10-23,
摩根士丹利,Blac,相信,2024-10-23,
摩根士丹利,Blac,担忧,2024-10-23,
摩根士丹利,Blac,质疑,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
罗伯特·桑德斯,台积公司,认为优秀,2025-01-16,
克利夫·阿斯内斯,AQR资本管理公司,主导,2024-11-05,
AQR资本管理公司,克利夫·阿斯内斯,视作英雄,2024-11-05,
黄仁勋,英伟达,威胁,2025-01-10,
黄仁勋,英伟达,支持,2025-01-10,
黄仁勋,英伟达,主导,2025-01-10,
拜登政府,人工智能能力,增进,2025-01-10,
黄仁勋,英伟达,增进,2025-01-10,
拜登政府,限制向中国,担忧,2025-01-10,
黄仁勋,英伟达,认为缺乏,2025-01-10,
黄仁勋,英伟达,认为失败,2025-01-10,
黄仁勋,英伟达,欣赏,2025-01-10,
黄仁勋,英伟达,认为有危机,2025-01-10,
Dan Ives,关税对苹果的影响,担忧,2025-01-10,
黄仁勋,英伟达,认为优秀,2025-01-10,
黄仁勋,英伟达,相信,2025-01-10,
黄仁勋,英伟达,认为恐怖,2025-01-10,
唐纳德·特朗普,对中国,认为有威胁,2025-01-10,
黄仁勋,英伟达,认为有威胁,2025-01-10,
黄仁勋,英伟达,损害,2025-01-10,
黄仁勋,英伟达,担忧,2025-01-10,
黄仁勋,英伟达,感到不满,2025-01-10,
黄仁勋,英伟达,批评,2025-01-10,
黄仁勋,英伟达,质疑,2025-01-10,
黄仁勋,英伟达,认为有成就,2025-01-10,
黄仁勋,英伟达,认可,2025-01-10,
台湾区官员,特朗普,视作英雄,2025-01-10,
Dan Ives,苹果,损害,2025-01-10,
唐纳德·特朗普,对中国,威胁,2025-01-10,
黄仁勋,英伟达,认为可靠,2025-01-10,
台积电,英伟达,质疑,2024-11-25,
台积电,苹果,质疑,2024-11-25,
台积电,苹果,支持,2024-11-25,
台积电,苹果,认为优秀,2024-11-25,
台积电,英伟达,认为优秀,2024-11-25,
台积电,苹果,欢迎,2024-11-25,
台积电,英伟达,主导,2024-11-25,
台积电,苹果,认为可靠,2024-11-25,
台积电,苹果,欣赏,2024-11-25,
台积电,苹果,喜欢,2024-11-25,
台积电,英伟达,认为可靠,2024-11-25,
台积电,苹果,认可,2024-11-25,
台积电,苹果,批评,2024-11-25,
美国,台积电,支持,2024-11-27,
特朗普政府,英伟达,欢迎,2024-12-29,
黄仁勋,人工智能数据中心,增进,2024-12-29,
特朗普政府,英伟达,喜欢,2024-12-29,
中国,台湾,认为可靠,2025-01-14,
中国,台湾,认可,2025-01-14,
中国,台湾,认为有暴力,2025-01-14,
中国,台湾,认为恐怖,2025-01-14,
伊朗,AI芯片,增进,2025-01-14,
俄罗斯,AI芯片,增进,2025-01-14,
美国,人工智能技术,支持,2025-01-14,
中国,台湾,认为有危机,2025-01-14,
朝鲜,AI芯片,增进,2025-01-14,
中国,台湾,认为有威胁,2025-01-14,
中国,台湾,认为非法,2025-01-14,
《金融时报》,台湾,威胁,2024-11-04,
台湾政府,电价,增进,2024-11-04,
台湾政府,台积电,损害,2024-11-04,
《金融时报》,台湾,认为有威胁,2024-11-04,
《金融时报》,台湾,认为有危机,2024-11-04,
《金融时报》,台湾,相信,2024-11-04,
美银美林,英伟达,认为有暴力,2024-11-21,
美银美林,英伟达,认为可靠,2024-11-21,
美银美林,英伟达,质疑,2024-11-21,
美银美林,英伟达,认为优秀,2024-11-21,
美银美林,英伟达,认为有威胁,2024-11-21,
美银美林,英伟达,认可,2024-11-21,
肯格里芬,Citadel的持股,损害,2024-11-21,
美银美林,英伟达,认为恐怖,2024-11-21,
美银美林,英伟达,担忧,2024-11-21,
美银美林,英伟达,批评,2024-11-21,
美银美林,英伟达,认为有危机,2024-11-21,
美银美林,英伟达,欣赏,2024-11-21,
美银美林,英伟达,相信,2024-11-21,
美银美林,英伟达,感到不满,2024-11-21,
美银美林,英伟达,认为有成就,2024-11-21,
美银美林,英伟达,喜欢,2024-11-21,
美国,台积电,认为有威胁,2024-11-10,
供应链合作伙伴,Monolithic,喜欢,2024-11-10,
美国,台积电,攻击,2024-11-10,
供应链合作伙伴,Monolithic,质疑,2024-11-10,
供应链合作伙伴,Monolithic,担忧,2024-11-10,
特朗普政府,美国,认为非法,2024-11-10,
美国,台积电,威胁,2024-11-10,
供应链合作伙伴,Monolithic,认为有暴力,2024-11-10,
供应链合作伙伴,Monolithic,认为有危机,2024-11-10,
美国,台积电,损害,2024-11-10,
特朗普政府,台积电,攻击,2024-11-10,
供应链合作伙伴,Monolithic,批评,2024-11-10,
供应链合作伙伴,Monolithic,相信,2024-11-10,
特朗普政府,台积电,损害,2024-11-10,
特朗普政府,美国,质疑,2024-11-10,
供应链合作伙伴,Monolithic,认为恐怖,2024-11-10,
特朗普政府,台湾,质疑,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
特朗普政府,美国,认为犯罪,2024-11-10,
供应链合作伙伴,Monolithic,认为有威胁,2024-11-10,
特朗普政府,美国,批评,2024-11-10,
供应链合作伙伴,Monolithic,威胁,2024-11-10,
供应链合作伙伴,Monolithic,认可,2024-11-10,
特朗普政府,台湾,批评,2024-11-10,
供应链合作伙伴,Monolithic,欣赏,2024-11-10,
美国,台积电,损害,2024-11-10,
供应链合作伙伴,Monolithic,增进,2024-11-10,
供应链合作伙伴,Monolithic,认为非法,2024-11-10,
供应链合作伙伴,Monolithic,认为优秀,2024-11-10,
供应链合作伙伴,Monolithic,认为缺乏,2024-11-10,
美国,台积电,损害,2024-11-10,
供应链合作伙伴,Monolithic,认为可靠,2024-11-10,
供应链合作伙伴,Monolithic,支持,2024-11-10,
美国,台积电,认为有威胁,2024-11-10,
美国,台积电,攻击,2024-11-10,
特朗普政府,美国,认为非法,2024-11-10,
美国,台积电,威胁,2024-11-10,
美国,台积电,损害,2024-11-10,
美国,半导体,担忧,2024-11-10,
特朗普政府,美国,质疑,2024-11-10,
特朗普政府,台湾,质疑,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
特朗普政府,美国,认为犯罪,2024-11-10,
特朗普政府,美国,批评,2024-11-10,
特朗普政府,台湾,认为违规,2024-11-10,
英伟达,台积电,攻击,2024-11-10,
特朗普政府,台湾,批评,2024-11-10,
美国,台积电,认为有危机,2024-11-10,
摩根士丹利,台积电,认可,2024-12-29,
摩根士丹利,台积电,担忧,2024-12-29,
英特尔,阿斯麦,损害,2024-12-29,
布拉德·史密斯,AI军备竞赛,增进,2025-01-12,
微软,AI军备竞赛,增进,2025-01-12,
《亚洲尼日基亚报》,蔡崇信,视作英雄,2024-12-16,
台湾科技会议,新一代AI装置的发展,增进,2024-12-16,
《亚洲尼日基亚报》,台湾科技会议,支持,2024-12-16,
蔡崇信,台湾科技会议,主导,2024-12-16,
《亚洲尼日基亚报》,台湾科技会议,认为失败,2024-12-16,
《亚洲尼日基亚报》,台湾科技会议,增进,2024-12-16,
《亚洲尼日基亚报》,台湾科技会议,主导,2024-12-16,
中国,美国,视作英雄,2024-12-03,
美国,唐纳,视作英雄,2024-12-03,
唐纳德·特朗,台湾,认为有威胁,2024-12-03,
台湾,美国,主导,2024-12-03,
美国,台积电,认为有威胁,2024-11-10,
供应链合作伙伴,Monolithic,喜欢,2024-11-10,
特朗普总统,美国,批评,2024-11-10,
供应链合作伙伴,Monolithic,认为有成就,2024-11-10,
供应链合作伙伴,Monolithic,质疑,2024-11-10,
特朗普总统,美国,攻击,2024-11-10,
特朗普政府,台湾,攻击,2024-11-10,
特朗普政府,美国,认为恐怖,2024-11-10,
供应链合作伙伴,Monolithic,认为有暴力,2024-11-10,
供应链合作伙伴,Monolithic,认为有危机,2024-11-10,
特朗普政府,美国,攻击,2024-11-10,
美国,台积电,损害,2024-11-10,
供应链合作伙伴,Monolithic,批评,2024-11-10,
供应链合作伙伴,Monolithic,相信,2024-11-10,
美国,台积电,认可,2024-11-10,
供应链合作伙伴,Monolithic,认为恐怖,2024-11-10,
特朗普政府,美国,主导,2024-11-10,
特朗普总统,美国,主导,2024-11-10,
德国,供应链合作伙伴,担忧,2024-11-10,
供应链合作伙伴,Monolithic,认为有威胁,2024-11-10,
美国,台积电,质疑,2024-11-10,
美国,台积电,批评,2024-11-10,
特朗普政府,美国,质疑,2024-11-10,
供应链合作伙伴,Monolithic,认可,2024-11-10,
美国,台积电,认为失败,2024-11-10,
美国,台积电,认为违规,2024-11-10,
特朗普政府,美国,认为有暴力,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
特朗普总统,美国,认为违规,2024-11-10,
供应链合作伙伴,Monolithic,认为非法,2024-11-10,
特朗普总统,美国,质疑,2024-11-10,
特朗普政府,美国,认为犯罪,2024-11-10,
供应链合作伙伴,Monolithic,认为优秀,2024-11-10,
供应链合作伙伴,Monolithic,认为缺乏,2024-11-10,
特朗普政府,美国,批评,2024-11-10,
美国,台积电,相信,2024-10-29,
美国,《芯片与科学法》,主导,2024-10-29,
微软公司（MSFT）,台积电,主导,2024-11-03,
台积电,英伟达,支持,2024-09-05,
台积电,英伟达,增进,2024-09-05,
谷歌,Veo 2,认可,2024-12-26,
科尔莱特·克雷斯,英伟达,认为可靠,2025-01-11,
布拉德·史密斯,AI军备竞赛,增进,2025-01-11,
微软,AI军备竞赛,增进,2025-01-11,
科尔莱特·克雷斯,AI芯片,增进,2025-01-11,
魏哲家,台积电,认为有危机,2024-10-23,
魏哲家,台积电,批评,2024-10-23,
魏哲家,台积电,相信,2024-10-23,
魏哲家,台积电,认为可靠,2024-10-23,
魏哲家,台积电,认为优秀,2024-10-23,
魏哲家,台积电,担忧,2024-10-23,
台积电,英伟达,支持,2024-10-23,
魏哲家,台积电,认可,2024-10-23,
魏哲家,台积电,认为恐怖,2024-10-23,
英伟达,AI芯片,增进,2024-10-23,
台积电,英伟达,认为热情,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
魏哲家,台积电,质疑,2024-10-23,
德意志银行,台积电,质疑,2025-01-16,
德意志银行,台积电,担忧,2025-01-16,
罗伯特·桑德斯,台积电,支持,2025-01-16,
罗伯特·桑德斯,台积电,担忧,2025-01-16,
台积电,人工智能需求,支持,2025-01-16,
德意志银行,台积电,认为优秀,2025-01-16,
秦思瑞,台积电,相信,2025-01-16,
秦思瑞,台积电,担忧,2025-01-16,
罗伯特·桑德斯,台积电,认可,2025-01-16,
罗伯特·桑德斯,台积电,认为优秀,2025-01-16,
罗伯特·桑德斯,台积电,质疑,2025-01-16,
唐纳德·特朗,台湾主,认为恐怖,2024-12-03,
唐纳德·特朗,台湾主,感到不满,2024-12-03,
唐纳德·特朗,台湾主,认为优秀,2024-12-03,
唐纳德·特朗,台湾主,认为失败,2024-12-03,
台湾,美国,主导,2024-12-03,
唐纳德·特朗,台湾,认为有威胁,2024-12-03,
唐纳德·特朗,台湾,认为有暴力,2024-12-03,
唐纳德·特朗,台湾,认为有危机,2024-12-03,
唐纳德·特朗,台湾主,认为违规,2024-12-03,
唐纳德·特朗,台湾主,认为犯罪,2024-12-03,
台积电,华为,认为违规,2024-11-10,
台积电,华为,质疑,2024-11-10,
路透社,Sophgo,认为优秀,2024-11-10,
台积电,华为,认为违规,2024-11-10,
路透社,台积电,感到满意,2024-11-10,
路透社,台积电,批评,2024-11-10,
路透社,台积电,损害,2024-11-10,
路透社,台积电,相信,2024-11-10,
台积电,华为,质疑,2024-11-10,
路透社,台积电,认为有威胁,2024-11-10,
路透社,台积电,增进,2024-11-10,
路透社,台积电,主导,2024-11-10,
路透社,台积电,认可,2024-11-10,
路透社,台积电,质疑,2024-11-10,
路透社,台积电,认为违规,2024-11-10,
路透社,台积电,认为有危机,2024-11-10,
标普全球市场情报公司,台积电,损害,2024-11-10,
路透社,台积电,感到不满,2024-11-10,
路透社,台积电,威胁,2024-11-10,
路透社,台积电,担忧,2024-11-10,
路透社,台积电,认为可靠,2024-11-10,
路透社,台积电,认为恐怖,2024-11-10,
路透社,台积电,认为优秀,2024-11-10,
美国,华为,损害,2024-11-10,
路透社,台积电,支持,2024-11-10,
黄仁勋,台积电,认为优秀,2024-11-10,
黄仁勋,AI 芯片,认为有成就,2024-06-27,
詹嘉宏,CoWoS封装产能,增进,2024-10-26,
台积电,CoWoS封装产能,增进,2024-10-26,
台积电,多元化劳动力的价值,相信,2024-11-13,
墨西哥,台积电,认为违规,2024-11-13,
台积电,非台湾或中国籍的员工,攻击,2024-11-13,
台积电,非台湾或中国籍的员工,损害,2024-11-13,
英国,网络攻击,威胁,2024-10-23,
英国,网络攻击,担忧,2024-10-23,
路透社,台积电,批评,2024-10-23,
路透社,台积电,相信,2024-10-23,
英国,网络攻击,认为恐怖,2024-10-23,
路透社,910B,认为有危机,2024-10-23,
王涛,英国,认为有威胁,2024-10-23,
英国,网络攻击,认为有威胁,2024-10-23,
美国,台积电,认为违规,2024-10-23,
路透社,台积电,质疑,2024-10-23,
路透社,台积电,认为违规,2024-10-23,
路透社,台积电,认为有危机,2024-10-23,
英国,网络攻击,认为失败,2024-10-23,
英国,网络攻击,认为有危机,2024-10-23,
路透社,910B,认为有暴力,2024-10-23,
路透社,台积电,担忧,2024-10-23,
台积电,网络攻击,认为有威胁,2024-10-23,
路透社,华为,认为优秀,2024-10-23,
英国,网络攻击,认为犯罪,2024-10-23,
贝佐斯,美国,增进,2024-11-09,
《台北时报》,台积电,质疑,2024-11-09,
《台北时报》,台积电,担忧,2024-11-09,
《台北时报》,台积电,相信,2024-11-09,
美国,台积电,质疑,2024-11-09,
美国,台积电,主导,2024-11-09,
美国,台积电,批评,2024-11-09,
《台北时报》,唐纳德·特朗普,视作英雄,2024-11-09,
美国,台积电,支持,2024-11-09,
美国,台积电,担忧,2024-11-09,
美国,台积电,认为违规,2024-11-09,
《台北时报》,台积电,增进,2024-11-09,
《台北时报》,台积电,损害,2024-11-09,
《台北时报》,台积电,威胁,2024-11-09,
美国,台积电,认可,2024-11-09,
福布斯女士,日本,批评,2024-11-19,
福布斯女士,日本,认为有威胁,2024-11-19,
福布斯女士,日本,认为优秀,2024-11-19,
福布斯女士,日本,认为非法,2024-11-19,
福布斯女士,日本,认为缺乏,2024-11-19,
福布斯女士,日本,相信,2024-11-19,
福布斯女士,日本,认为可靠,2024-11-19,
福布斯女士,日本,质疑,2024-11-19,
福布斯女士,日本,威胁,2024-11-19,
福布斯女士,日本,认为有危机,2024-11-19,
福布斯女士,日本,认为恐怖,2024-11-19,
福布斯女士,日本,认可,2024-11-19,
福布斯女士,日本,认为违规,2024-11-19,
福布斯女士,日本,支持,2024-11-19,
福布斯女士,日本,担忧,2024-11-19,
黄仁勋,日本,认为非法,2024-11-19,
福布斯女士,日本,增进,2024-11-19,
福布斯女士,日本,感到不满,2024-11-19,
魏哲家,台积电,认为有危机,2024-12-28,
特朗普政府,美国,主导,2024-11-10,
特朗普总统,台积电,损害,2024-11-10,
美国,台积电,攻击,2024-11-10,
特朗普总统,台积电,批评,2024-11-10,
美国,台积电,损害,2024-11-10,
特朗普总统,美国,认为违规,2024-11-10,
特朗普总统,美国,批评,2024-11-10,
特朗普政府,美国,欣赏,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
特朗普总统,美国,质疑,2024-11-10,
美国,台积电,认可,2024-11-10,
特朗普政府,台积电,批评,2024-11-10,
