name,community
华为技术公司,0
OpenAI,10
贝索斯,2
波森,2
里克·沙弗,1
斯塔西·拉森戈,3
美光科技,1
代工厂,0
《日经亚洲》,1
Joe Rogan,0
Adobe,2
亚当·普森,2
新政府,3
布莱恩·库茨,1
格尔辛格尔,3
摩根大通,1
道达尔集团,0
裁员,3
池泰完,1
台湾积电,1
瑞克·卡西迪,3
Alphabet,0
新墨西哥州,3
汪阳,2
詹森·黄,1
中国媒体,0
台积,0
克里斯托弗·米姆斯,3
杰米·戴蒙,2
帕特·盖辛格,3
微软公司（MSFT）,0
吉恩·蒙斯特,0
波士顿咨询公司,0
Blac,1
黄伟森,1
亚当·波森,2
埃迪松·李,2
科莱特·克雷斯,1
中国AI企业,0
克里斯·卡索,3
标普全球市场情报公司,0
魏松,1
CHIPS法案,2
吴志弘,2
汉斯·莫塞曼,1
关闭最后一个核电厂,2
高通公司,3
中美关系,2
布莱恩·库斯,1
江仁龙,0
张建中,1
雅虎财经,3
马尔克·华纳,3
加拿大多伦多,3
Blackwell,1
Keller,1
摇滚明星,1
泰勒城工厂,7
台湾经济部,0
唐纳,2
埃德·伊格尔金斯基,1
Elon Musk,1
晶圆厂,0
市场环境,2
印度孟买,1
关于台湾稳定性的评论,3
瑞安·德特里克,3
威廉·施耐德,1
工程师,0
商务部,0
《环球时报》,0
蒂德·莫顿森,1
威尔森研究公司,3
日媒,0
中国台湾事务办公室,0
陈其迈,0
《巴伦周刊》,1
台湾的贸易,0
富国银行,0
苹果公司（AAPL）,0
台湾稳定性,3
新建芯片工厂,0
《商业韩国》,0
央行,0
杰姆·凯勒,1
关于台湾稳定性的言论,3
SMIC,0
日本传媒,0
Jeff Bezos,0
迈克尔·马图塞克,3
林次郎,2
中国人工智能公司,4
安迪·贾西,1
Dan Ives,1
施耐德,1
布莱克威尔,1
Russ Mould,0
《乔·罗根体验》,2
斯科夫,0
拉里·埃伦斯,1
水资源限制措施,0
《日本时报》,2
Palantir,2
Sam Altman,1
前总统,1
《纽约时报》,1
康迪和Crame,1
石原伸晃,3
中国贸易,2
安杰洛·津诺,2
拉巴里,1
SK海力士,0
霍华德·马克斯,0
民主党,2
戴维·津斯纳,3
中国芯片公司,0
拜登总统,0
库克,2
亚太地区,2
Hindenburg,0
NVIDIA,0
全面进口关税,2
C.C. Wei,0
泰勒市工厂,7
《商业时报》,0
收购高通,2
生产未受影响,0
花旗,2
Jim Cramer,1
德国德累斯顿,0
中央通讯社（CNA）,0
波士顿咨询集团,0
《自由时报》,0
YouTube,1
辛格,1
乔丹·克莱恩,0
英伟,0
Adam Posen,2
孙正义,2
关税和税收政策,2
北美,2
拉乌莉·里哈,0
乔·拜登总统,2
Sophgo,0
大卫,3
运营商,1
18A工艺节点,3
伊格尔金斯基,1
盖辛格,3
弗兰克·耶瑞,3
消费者价格上涨,2
《芯片和科学法案》,2
台积公司（TSMC）,0
巴伦,0
司法部,1
李开复,4
MJ,3
道琼,1
莫顿森,1
苹果公司(AAPL),0
科技行业协会,2
娜特莉·奎廉,0
马来西亚沙捞越,2
台积公司(TSMC),0
台湾政策制定者,0
科尔莱特·克雷,1
亚马逊,0
停工,0
人工智能革命,1
实施高关税,2
东京电子,0
Arya,1
CNA,0
卢克·拉赫贝里,1
马克·扎克伯格,1
AI芯片,2
刘元潮,2
Oracle,1
高盛,0
中国政府,0
提高墨西哥关税,0
达科他财富公司,2
乌尔苏拉·冯德莱恩,8
新芯片工厂,8
中媒,0
关税和税制政策,2
克利夫·阿斯内斯,9
AQR资本管理公司,9
大卫·迈耶贝佐斯,1
拉乌莉·李,5
关税计划,2
台湾的能源挑战,0
杰夫·金,3
大卫·津斯纳,3
约翰·马奇,1
《芯片与科学法案》,2
彼得森国际经济研究所,2
中芯国际,0
索尼,3
汤姆·唐,1
扩产布莱克韦尔,1
《乔·罗根播客》,2
Hindenbur,0
约翰·穆伦纳尔,0
维韦克·阿亚,2
微软CEO,0
奈德·芬克尔,0
卢克·拉哈里,1
美光科技有限公司,2
崔敏秀,0
布莱施茨,0
孟买,1
2025,3
对中国贸易,2
加利福尼亚州,5
加拿大,10
唐纳德·特朗,0
微软,0
托西亚·哈里,3
iPhone,3
美元,2
林·布·坦,3
卢克·拉巴里,1
Jim Keller,1
侯永清,0
俄亥俄州,3
杰夫·贝佐斯,1
消费者价格可能上涨,2
越南,2
将华为公司,2
晶圆代工厂,3
昌,1
魏知效,0
出口管制,0
成本削减计划,3
拉哈里,1
