head,tail,relation,time,score
美国,台积电,认为非法,2024-11-10,0.482443
美国,台积电,认为非法,2024-11-28,0.482443
美国,台积电,认为非法,2024-11-07,0.482443
美国,台积电,认为非法,2024-12-02,0.482443
美国,台积电,认为非法,2024-11-28,0.482443
乔·罗根,特朗普,认为恐怖,2024-11-05,0.481506
特朗普,台积电,相信,2024-10-28,0.476295
特朗普,台积电,相信,2024-10-28,0.476295
彼得·蒂尔,特朗普,认为可靠,2024-11-18,0.475369
美国,台积电,认为有暴力,2024-11-28,0.464895
美国,台积电,认为有暴力,2024-12-02,0.464895
美国,台积电,认为有暴力,2024-12-02,0.464895
美国,台积电,认为有暴力,2024-11-28,0.464895
美国,台积电,认为有暴力,2024-07-19,0.464895
《台北时报》,特朗普,认可,2024-11-12,0.462491
特朗普,台积电,认为恐怖,2024-10-28,0.458977
特朗普,台积电,认为恐怖,2024-10-28,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-11-10,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-11-07,0.458977
特朗普,台积电,认为恐怖,2024-10-28,0.458977
特朗普,台积电,认为恐怖,2024-10-28,0.458977
特朗普,台积电,认为恐怖,2024-10-28,0.458977
唐纳德·特朗普,台积电,认为非法,2024-07-29,0.454409
鲍威尔,特朗普,认为热情,2025-01-14,0.452473
哈里斯,特朗普,攻击,2024-11-02,0.446917
台积电,中国企业,损害,2024-10-23,0.445322
美国,墨西哥,攻击,2024-11-27,0.443610
唐纳德·特朗普,台积电,欢迎,2024-11-12,0.442049
美国,墨西哥,认为有威胁,2024-11-27,0.440445
台积电,苹果,损害,2024-11-26,0.439106
唐纳德·特朗普,台积电,支持,2024-07-29,0.423981
唐纳德·特朗普,台积电,支持,2024-07-29,0.423981
唐纳德·特朗普,台积电,支持,2024-11-10,0.423981
唐纳德·特朗普,台积电,支持,2024-11-07,0.423981
唐纳德·特朗普,台积电,支持,2024-11-10,0.423981
唐纳德·特朗普,台积电,支持,2024-11-10,0.423981
唐纳德·特朗普,台积电,支持,2024-11-22,0.423981
唐纳德·特朗普,台积电,支持,2024-11-12,0.423981
唐纳德·特朗普,台积电,支持,2024-11-12,0.423981
台积电,华盛顿,担忧,2024-12-29,0.423391
美国,台积电,欣赏,2024-10-16,0.419716
美国,台积电,欣赏,2024-11-28,0.419716
美国,台积电,欣赏,2024-11-28,0.419716
魏哲家,唐纳德·特朗普,批评,2024-11-14,0.418117
彼得·蒂尔,特朗普,担忧,2024-11-18,0.414808
彼得·蒂尔,特朗普,担忧,2024-11-18,0.414808
张忠谋,台积电,相信,2024-10-27,0.413437
《台北时报》,特朗普,相信,2024-11-12,0.409028
《台北时报》,特朗普,相信,2024-11-12,0.409028
布劳登曼,特朗普,相信,2024-11-15,0.408957
美国,《CHIPS法案》,主导,2024-12-02,0.403175
美国,台积电,认为有危机,2024-11-10,0.402622
美国,台积电,认为有危机,2024-10-27,0.402622
美国,台积电,认为有危机,2024-10-16,0.402622
美国,台积电,认为有危机,2024-10-22,0.402622
美国,台积电,认为有危机,2024-11-10,0.402622
美国,台积电,认为有危机,2024-11-10,0.402622
美国,台积电,认为有危机,2024-11-10,0.402622
美国,台积电,认为有危机,2024-11-28,0.402622
美国,台积电,认为有危机,2024-11-28,0.402622
美国,台积电,认为有危机,2024-11-05,0.402622
张忠谋,台积电,认为恐怖,2024-11-29,0.402173
鲍威尔,特朗普,质疑,2025-01-14,0.396422
美国,台积电,相信,2024-10-29,0.394395
美国,台积电,相信,2024-10-27,0.394395
美国,台积电,相信,2024-11-09,0.394395
美国,台积电,相信,2024-10-29,0.394395
美国,台积电,相信,2024-10-27,0.394395
美国,台积电,相信,2024-10-27,0.394395
美国,台积电,相信,2024-10-23,0.394395
美国,台积电,相信,2024-11-28,0.394395
美国,台积电,相信,2024-11-28,0.394395
美国,台积电,相信,2024-11-09,0.394395
唐纳德·特朗普,台积电,欣赏,2024-07-29,0.393595
唐纳德·特朗普,台积电,欣赏,2024-07-29,0.393595
唐纳德·特朗普,台积电,欣赏,2024-11-07,0.393595
唐纳德·特朗普,台积电,欣赏,2024-11-10,0.393595
唐纳德·特朗普,台积电,欣赏,2024-11-10,0.393595
唐纳德·特朗普,台积电,欣赏,2024-11-10,0.393595
格尔辛格,台积电,认为恐怖,2024-12-02,0.391821
美国,台积电,认为恐怖,2024-10-27,0.391001
美国,台积电,认为恐怖,2024-10-27,0.391001
美国,台积电,认为恐怖,2024-10-16,0.391001
美国,台积电,认为恐怖,2024-11-28,0.391001
美国,台积电,认为恐怖,2024-11-28,0.391001
美国,台积电,认为恐怖,2024-10-21,0.391001
美国,台积电,认为恐怖,2024-10-27,0.391001
特朗普,英伟达,损害,2024-10-02,0.389889
波森,特朗普,认为恐怖,2024-11-06,0.388947
美国,台积电,欢迎,2024-10-27,0.388663
美国,台积电,欢迎,2024-11-09,0.388663
散户投资者,台积电,喜欢,2024-12-30,0.382562
唐纳德·特朗普,台积电,感谢,2024-11-12,0.381939
帕特·盖尔辛格,台积电,认为有危机,2024-11-06,0.379793
皮特森国际经济研究所,特朗普,担忧,2024-11-06,0.371123
克里斯托夫·福凯,美国,认为有危机,2024-11-13,0.370752
克里斯托夫·福凯,美国,认为有危机,2024-10-31,0.370752
克里斯托夫·福凯,美国,认为有危机,2024-10-31,0.370752
克里斯托夫·福凯,美国,认为有危机,2024-10-31,0.370752
乔·拉戈,《芯片法案》,主导,2024-11-06,0.367628
帕特·盖尔辛格,台积电,感到不满,2024-11-06,0.367297
乔·罗根,台积电,攻击,2024-10-28,0.365389
荷兰,美国,认可,2024-12-02,0.362537
帕特·盖尔辛格,台积电,主导,2024-12-02,0.357753
摩根士丹利,台积电,认为恐怖,2024-10-22,0.351949
克里斯托夫·福克,美国,认为有危机,2024-10-31,0.349525
唐纳德·特朗普总统,台积电,担忧,2024-11-12,0.349476
美国,台积电,喜欢,2024-11-28,0.348538
唐纳德·特朗普,台积电,认为失败,2024-07-29,0.345797
唐纳德·特朗普,台积电,认为失败,2024-07-29,0.345797
唐纳德·特朗普,台积电,认为失败,2024-11-10,0.345797
唐纳德·特朗普,台积电,认为失败,2024-11-10,0.345797
唐纳德·特朗普,台积电,认为失败,2024-11-10,0.345797
唐纳德·特朗普,台积电,认为失败,2024-11-10,0.345797
唐纳德·特朗普,台积电,认为失败,2024-11-22,0.345797
美国,台积电,视作英雄,2024-11-10,0.343938
白宫,唐纳德·特朗普,欢迎,2024-11-05,0.338306
美国,台积电,认为优秀,2024-10-27,0.337321
美国,台积电,认为优秀,2024-10-27,0.337321
美国,台积电,认为优秀,2024-10-23,0.337321
美国,台积电,认为优秀,2024-10-22,0.337321
美国,台积电,认为优秀,2025-01-13,0.337321
美国,台积电,认为优秀,2024-10-16,0.337321
美国,台积电,认为优秀,2024-11-10,0.337321
美国,台积电,认为优秀,2024-11-28,0.337321
美国,台积电,认为优秀,2024-11-28,0.337321
哈里斯,特朗普,认为违规,2024-09-10,0.336126
吉娜·雷蒙多,台积电,认为恐怖,2024-11-14,0.335123
吉娜·雷蒙多,台积电,认为恐怖,2024-11-14,0.335123
台积电,苹果,欢迎,2024-11-26,0.332636
台积电,苹果,欢迎,2024-11-25,0.332636
美国,英伟达,认为有成就,2024-07-10,0.331819
美国,英伟达,认为有成就,2024-11-21,0.331819
美国,英伟达,认为有成就,2024-10-20,0.331819
美国,英伟达,认为有成就,2024-10-20,0.331819
美国,英伟达,认为有成就,2024-11-21,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
美国,英伟达,认为有成就,2024-11-01,0.331819
美国,英伟达,认为有成就,2024-11-01,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
美国,英伟达,认为有成就,2024-11-18,0.331819
帕特·盖尔辛格,台积电,攻击,2024-10-29,0.329853
帕特·盖尔辛格,台积电,攻击,2024-11-06,0.329853
特朗普,台积电,支持,2024-10-28,0.329508
特朗普,台积电,支持,2024-11-07,0.329508
特朗普,台积电,支持,2024-11-07,0.329508
特朗普,台积电,支持,2024-11-07,0.329508
特朗普,台积电,支持,2024-11-07,0.329508
特朗普,台积电,支持,2024-11-07,0.329508
特朗普,台积电,支持,2024-10-28,0.329508
特朗普,台积电,支持,2024-11-12,0.329508
特朗普,台积电,支持,2024-11-12,0.329508
华为,美国,认为有成就,2024-12-27,0.329418
哈里斯,特朗普,批评,2024-09-10,0.327102
哈里斯,特朗普,批评,2024-11-02,0.327102
哈里斯,特朗普,批评,2024-11-02,0.327102
参议员,乔·拜登,认为恐怖,2024-10-31,0.325033
中国台湾事务办公室,美国,感谢,2024-11-11,0.322574
英特尔,基辛格,质疑,2024-12-03,0.320326
美国,墨西哥,威胁,2024-11-27,0.319763
帕特·盖尔辛格,台积电,质疑,2024-11-06,0.318302
帕特·盖尔辛格,英特尔,担忧,2024-11-24,0.315700
唐纳德·特朗普,英伟达,损害,2024-12-11,0.315522
华纳参议员,乔·拜登,认为恐怖,2024-10-31,0.312366
帕特·盖尔辛格,台积电,认为犯罪,2024-10-29,0.312102
帕特·盖尔辛格,台积电,认为犯罪,2024-11-06,0.312102
盖尔辛格,台积电,认为有危机,2024-11-06,0.308554
彼得·蒂尔,特朗普,认为违规,2024-11-18,0.307125
彼得·蒂尔,特朗普,认为违规,2024-11-18,0.307125
朱凤莲,美国,认为非法,2024-11-11,0.306665
黄仁勋,台积电,喜欢,2024-12-30,0.304925
黄仁勋,台积电,喜欢,2024-12-30,0.304925
乔·罗根,特朗普,质疑,2024-11-05,0.303780
彼得森国际经济研究所,特朗普,担忧,2024-11-06,0.303654
彼得森国际经济研究所,特朗普,担忧,2024-11-06,0.303654
彼得森国际经济研究所,特朗普,担忧,2024-11-06,0.303654
彼得森国际经济研究所,特朗普,担忧,2024-11-06,0.303654
美国,墨西哥,损害,2024-11-27,0.302726
唐纳德·特朗普,英伟达,认为有成就,2024-08-06,0.300142
魏哲家,台积电,主导,2024-06-03,0.299708
投资人,台积电,欢迎,2024-11-05,0.299101
唐纳德·特朗普,台积电,认为违规,2024-07-29,0.297434
唐纳德·特朗普,台积电,认为违规,2024-07-29,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-07,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-10,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-10,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-10,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-10,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-10,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-22,0.297434
唐纳德·特朗普,台积电,认为违规,2024-10-18,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-22,0.297434
唐纳德·特朗普,台积电,认为违规,2024-11-30,0.297434
唐纳德·特朗普,台积电,担忧,2024-07-29,0.296419
唐纳德·特朗普,台积电,担忧,2024-07-29,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-07,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-10,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-22,0.296419
唐纳德·特朗普,台积电,担忧,2024-11-12,0.296419
彼得·蒂尔,特朗普,感到不满,2024-11-18,0.293428
彼得·蒂尔,特朗普,感到不满,2024-11-18,0.293428
彼得·蒂尔,特朗普,感到不满,2024-11-18,0.293428
台湾官员,特朗普,质疑,2025-01-10,0.292934
亚当·普森,特朗普,认为恐怖,2024-11-06,0.292719
克里斯托夫·福奎,美国,认为有威胁,2024-10-31,0.291560
唐纳德·特朗普总统,台积电,威胁,2024-11-12,0.290357
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-10-27,0.288248
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-10-27,0.288248
美国,台积电,担忧,2024-10-22,0.288248
美国,台积电,担忧,2024-10-27,0.288248
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-10-16,0.288248
美国,台积电,担忧,2024-10-16,0.288248
美国,台积电,担忧,2024-10-16,0.288248
美国,台积电,担忧,2024-11-09,0.288248
美国,台积电,担忧,2024-10-16,0.288248
美国,台积电,担忧,2024-10-22,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-10,0.288248
美国,台积电,担忧,2024-11-28,0.288248
美国,台积电,担忧,2024-11-14,0.288248
美国,台积电,担忧,2024-11-11,0.288248
美国,台积电,担忧,2024-12-02,0.288248
美国,台积电,担忧,2024-11-28,0.288248
美国,台积电,担忧,2024-10-16,0.288248
美国,台积电,担忧,2024-11-12,0.288248
美国,台积电,担忧,2024-10-21,0.288248
美国,台积电,担忧,2024-10-27,0.288248
美国,台积电,担忧,2024-11-12,0.288248
苹果公司,台积电,认为恐怖,2024-10-17,0.287484
特朗普,台积电,欣赏,2024-10-28,0.287175
特朗普,台积电,欣赏,2024-10-28,0.287175
特朗普,台积电,欣赏,2024-11-10,0.287175
特朗普,台积电,欣赏,2024-11-07,0.287175
特朗普,台积电,欣赏,2024-11-07,0.287175
特朗普,台积电,欣赏,2024-11-07,0.287175
特朗普,台积电,欣赏,2024-11-07,0.287175
特朗普,台积电,欣赏,2024-10-28,0.287175
唐纳德·特朗普,台积电,认为有成就,2024-11-10,0.284108
帕特·盖尔辛格,台积电,认为有威胁,2024-10-29,0.283598
帕特·盖尔辛格,台积电,认为有威胁,2024-11-06,0.283598
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-11,0.283209
美国,台积电,认为失败,2024-10-16,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-14,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-10,0.283209
美国,台积电,认为失败,2024-11-28,0.283209
美国,台积电,认为失败,2024-11-14,0.283209
美国,台积电,认为失败,2024-10-27,0.283209
美国,台积电,认为失败,2024-12-02,0.283209
美国,台积电,认为失败,2024-12-02,0.283209
美国,台积电,认为失败,2024-10-24,0.283209
美国,台积电,认为失败,2024-11-28,0.283209
美国,台积电,认为失败,2024-10-21,0.283209
盖尔辛格,台积电,主导,2024-12-02,0.282837
唐纳德·特朗普,台积电,认可,2024-07-29,0.282032
唐纳德·特朗普,台积电,认可,2024-07-29,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-07,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-10,0.282032
唐纳德·特朗普,台积电,认可,2024-11-22,0.282032
唐纳德·特朗普,台积电,认可,2024-11-12,0.282032
吉姆·克拉默,英伟达,担忧,2024-09-04,0.281632
中国,唐纳德·特朗普,担忧,2024-11-12,0.281206
林次郎,特朗普,认可,2024-09-01,0.281024
花旗集团,台积电,认为恐怖,2024-08-28,0.280904
克里斯托夫·福凯,美国,认为恐怖,2024-11-13,0.280862
克里斯托夫·福凯,美国,认为恐怖,2024-10-31,0.280862
唐纳德·特朗普,墨西哥,认为有威胁,2024-11-27,0.280798
张忠谋,台积电,担忧,2024-11-29,0.279399
贝索斯,特朗普,担忧,2024-10-29,0.276863
阳基龙,美国,认为有威胁,2024-11-13,0.276250
特朗普,英伟达,认为有成就,2024-08-06,0.274210
汪阳,特朗普,认为恐怖,2024-11-05,0.273175
汪阳,特朗普,认为恐怖,2024-11-05,0.273175
汪阳,特朗普,认为恐怖,2024-11-05,0.273175
唐纳德·特朗普,台积电,认为有威胁,2024-07-29,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-07-29,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-07,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-10,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-22,0.273144
唐纳德·特朗普,台积电,认为有威胁,2024-11-30,0.273144
特朗普,台积电,认为违规,2024-10-28,0.271564
特朗普,台积电,认为违规,2024-10-28,0.271564
特朗普,台积电,认为违规,2024-11-07,0.271564
特朗普,台积电,认为违规,2024-11-10,0.271564
特朗普,台积电,认为违规,2024-11-07,0.271564
特朗普,台积电,认为违规,2024-11-07,0.271564
特朗普,台积电,认为违规,2024-11-07,0.271564
黄仁勋,台积电,担忧,2024-12-30,0.271132
帕特·盖尔辛格,台积电,损害,2024-10-29,0.271091
帕特·盖尔辛格,台积电,损害,2024-11-06,0.271091
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-10-27,0.270765
美国,台积电,损害,2024-10-27,0.270765
美国,台积电,损害,2024-10-27,0.270765
美国,台积电,损害,2024-11-09,0.270765
美国,台积电,损害,2024-10-16,0.270765
美国,台积电,损害,2024-10-22,0.270765
美国,台积电,损害,2024-11-11,0.270765
美国,台积电,损害,2024-12-02,0.270765
美国,台积电,损害,2024-12-02,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,台积电,损害,2024-10-22,0.270765
美国,台积电,损害,2024-11-12,0.270765
美国,台积电,损害,2024-11-12,0.270765
美国,台积电,损害,2024-10-27,0.270765
美国,台积电,损害,2024-10-27,0.270765
美国,台积电,损害,2024-11-25,0.270765
美国,台积电,损害,2024-07-19,0.270765
美国,台积电,损害,2024-11-10,0.270765
美国,英伟达,相信,2024-10-20,0.270378
美国,英伟达,相信,2024-10-20,0.270378
美国,英伟达,相信,2024-11-18,0.270378
美国,英伟达,相信,2024-11-18,0.270378
美国,英伟达,相信,2024-11-18,0.270378
美国,英伟达,相信,2024-11-18,0.270378
美国,英伟达,相信,2024-11-18,0.270378
美国,英伟达,相信,2024-11-18,0.270378
