name,community
台积公司（TSMC）,0
埃迪·埃吉金斯基,1
关税和税收政策,3
马吉华,0
瑞克·卡西迪,2
卡玛拉·哈里斯,4
新一轮出口管制,0
雅虎财经,2
关于台湾稳定性的言论,2
Blackwell,1
霍华德·马克斯,2
高盛,0
科莱特·克雷西,1
总统特朗普,1
霍尔,1
日本,4
马可·鲁比奥,3
《经济日报》,0
关税提议,4
ASML,0
台积公司(TSMC),0
《巴伦周刊》,1
算能科技,0
新墨西哥州,2
提高墨西哥关税,0
SK海力士,0
台湾政策制定者,0
台湾积电,0
奈德·芬克尔,0
德·特朗普,4
保守派,3
郭明池,1
唐纳德・特朗普,0
瑞克·卡斯迪,7
彭博,7
格尔辛格尔,2
乔丹·克莱恩,0
三星,2
威尔森研究公司,2
中芯国际,0
马继华,0
实施高关税,3
普遍关税计划,0
关于台湾稳定性的评论,2
QCi代工,0
Hindenburg,0
彭博商业周刊,3
Jeff Bezos,0
实施关税,4
内德·芬克尔,1
台湾稳定性,2
副总统哈里斯,3
台积,0
麦肯锡公司,0
日本传媒,0
《芯片和科学法案》,0
约翰·纽佛,0
埃里克·施密特,1
吉恩·蒙斯特,0
戴维·津斯纳,2
新的出口管制,0
客户,0
进口关税,4
詹森·黄,1
英伟,0
托西亚·哈里,2
赖清德,4
中美关系,4
摇滚明星,1
朗普,0
里克·沙弗,1
M4 Pro,0
CHIPS法案,4
高通公司,2
关闭最后一个核电厂,4
腾讯,0
拉里·埃伦斯,1
Pfizer,3
Elon Musk,1
沙弗,1
中国AI企业,0
约瑟夫·穆尔,1
刘元潮,4
娜特莉·奎廉,0
18A工艺节点,2
北京,5
中非合作论坛峰会,5
杰姆·凯勒,1
贸易惩罚,0
晶圆厂,0
《芯片与科学法案》,3
黄伟森,1
安迪·贾西,1
罗伯特·梅尔,0
AI芯片,4
富士康,0
乔·拜登总统,4
弗兰克·耶瑞,2
迈克·约翰逊,4
张建中,1
德意志银行,0
日媒,0
马来西亚沙捞越,3
《环球时报》,0
停工,0
约翰·马奇,1
2025,2
亚利桑那州钱德勒,4
特朗普过渡团队,0
越南,3
商务部,0
汉斯·莫塞曼,1
富国银行,0
Oracle,1
中国政府,0
US,4
维韦克·阿亚,4
朱延民,2
盖辛格,2
特朗普整个关税计划,0
唐纳德·特朗,0
郭明𫓹,1
MJ,2
埃德·伊格尔金斯基,1
布莱恩·库茨,1
《纽约时报》,1
台湾的能源挑战,0
中国军方,0
关税和税制政策,0
大卫·津斯纳,2
AnandTech,0
关税,4
布莱克威尔,1
Sam Altman,1
杰夫·贝佐斯,1
卢克·拉哈里,1
摩根大通,1
5G革命,2
丹尼尔·埃夫斯,4
伊朗,0
蒂德·莫顿森,1
微软公司（MSFT）,0
中国商务部发言人,0
台湾经济部,2
《商业韩国》,0
桑达尔·皮查伊,2
孟买,1
中东,0
Hindenbur,0
荷兰芯片制造商,0
数据中心生态系统,0
台湾最高金融监管机构,0
汤姆·唐,1
莫顿森,1
《第一财经》,4
大卫,2
马克·扎克伯格,1
Arya,1
伊朗最高领袖,0
约翰·穆伦纳尔,0
斯塔西·拉松,1
台湾主,4
贸易关系,3
芯片激励计划,0
中国公司,4
收购,0
日本政府,1
阿斯麦,0
出口管制,0
布莱恩·库斯,1
Blac,1
瑞安·德特里克,2
肯·格里芬,8
人工智能革命,8
崔敏秀,0
詹姆斯·普拉默,0
反垄断监管机构,1
KAILEY,4
克里斯·马科丹,1
亚利桑那工厂,0
Lori Huang,1
拉哈里,1
出口禁令,0
霍华德·卢特尼克,0
魏松,1
台湾主导美,4
成本削减计划,2
卢克·拉巴里,1
汉斯·莫泽曼,2
石原伸晃,2
限制先进芯片的出口,0
林·布·坦,2
运营商,1
Mark Kelly,0
